Date,Open Price,High Price,Low Price,Close Price,WAP,No.of Shares,No. of Trades,Total Turnover (Rs.),Deliverable Quantity,% Deli. Qty to Traded Qty,Spread High-Low,Spread Close-Open
27-March-2014,1366.00,1383.85,1353.00,1359.85,1368.611309887424731651,11459,1186,15682917.00,3578,31.22,30.85,-6.15
26-March-2014,1345.00,1365.00,1340.95,1363.15,1356.558407152910009106,12079,1316,16385869.00,7510,62.17,24.05,18.15
25-March-2014,1343.05,1365.00,1340.00,1343.30,1351.341472392638036809,8150,684,11013433.00,4231,51.91,25.00,0.25
24-March-2014,1350.00,1358.00,1340.00,1350.40,1348.854835909011981246,5759,534,7768055.00,3398,59.00,18.00,0.40
22-March-2014,1335.00,1348.95,1332.00,1345.75,1343.065948855989232839,743,149,997898.00,394,53.03,16.95,10.75
21-March-2014,1364.95,1374.80,1322.40,1333.70,1356.371551011202165250,13301,1194,18041098.00,4454,33.49,52.40,-31.25
20-March-2014,1328.00,1359.00,1325.00,1353.40,1345.710319969647148096,15814,1414,21281063.00,7209,45.59,34.00,25.40
19-March-2014,1323.00,1328.85,1310.00,1324.85,1319.795881711463211238,31178,775,41148596.00,28892,92.67,18.85,1.85
18-March-2014,1306.00,1324.00,1306.00,1318.30,1318.022213327996798078,4997,756,6586157.00,2596,51.95,18.00,12.30
14-March-2014,1307.40,1317.95,1305.70,1310.65,1309.390616899948159668,3858,492,5051629.00,1898,49.20,12.25,3.25
